Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /health,46,0,310,472.3004804134531,36.47251008078456,1263.1189939565957,60.0,1.5855760022906693,0.0,310,470,700,870,1100,1100,1300,1300,1300,1300,1300
GET,GET /runs/{id},213,0,17,23.36892045535882,7.7513959258794785,214.14908301085234,1013.8591549295775,7.34190627147636,0.0,17,19,22,24,32,43,170,210,210,210,210
POST,POST /research,213,0,9,11.355542551568696,4.319218918681145,59.596071019768715,120.0,7.34190627147636,0.0,9,11,12,13,17,24,44,48,60,60,60
,Aggregated,472,0,14,61.69943372774238,4.319218918681145,1263.1189939565957,517.5254237288135,16.269388545243388,0.0,14,18,22,25,82,310,870,1100,1300,1300,1300
