Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778103242,10,GET,GET /health,1.571429,0.000000,160,240,260,260,270,290,290,290,290,290,290,19,0,110,156.8368248102304,36.47251008078456,292.02962201088667,60.0
1778103242,10,GET,GET /runs/{id},7.428571,0.000000,16,18,19,21,23,30,39,43,43,43,43,66,0,16,31.334245189403493,7.7513959258794785,214.14908301085234,988.3484848484849
1778103242,10,POST,POST /research,7.428571,0.000000,9,11,12,12,14,15,20,22,22,22,22,66,0,10,12.680612074098352,4.546158947050571,59.596071019768715,120.0
1778103242,10,,Aggregated,16.428571,0.000000,14,17,19,21,83,210,270,270,290,290,290,151,0,14,38.972716892619204,4.546158947050571,292.02962201088667,491.9933774834437
1778103243,10,GET,GET /health,1.625000,0.000000,160,240,260,260,270,290,290,290,290,290,290,19,0,110,156.8368248102304,36.47251008078456,292.02962201088667,60.0
1778103243,10,GET,GET /runs/{id},7.125000,0.000000,16,18,19,21,24,32,39,43,43,43,43,74,0,16,29.764717954487818,7.7513959258794785,214.14908301085234,991.6351351351351
1778103243,10,POST,POST /research,7.125000,0.000000,9,10,12,12,14,19,22,32,32,32,32,74,0,9,12.475327651545003,4.546158947050571,59.596071019768715,120.0
1778103243,10,,Aggregated,15.875000,0.000000,13,16,19,21,82,210,260,270,290,290,290,167,0,14,36.560856564316204,4.546158947050571,292.02962201088667,499.4071856287425
1778103244,10,GET,GET /health,1.777778,0.000000,210,240,260,270,290,340,340,340,340,340,340,20,0,110,166.05413507204503,36.47251008078456,341.1830300465226,60.0
1778103244,10,GET,GET /runs/{id},7.111111,0.000000,16,17,18,19,21,23,25,32,32,32,32,83,0,16,28.2480337948774,7.7513959258794785,214.14908301085234,973.1204819277109
1778103244,10,POST,POST /research,7.111111,0.000000,9,10,12,12,13,14,22,32,32,32,32,83,0,10,12.238831152713084,4.546158947050571,59.596071019768715,120.0
1778103244,10,,Aggregated,16.000000,0.000000,13,16,18,21,82,240,270,290,340,340,340,186,0,14,35.92200264565006,4.546158947050571,341.1830300465226,494.241935483871
1778103245,10,GET,GET /health,1.900000,0.000000,240,260,270,270,300,340,340,340,340,340,340,21,0,160,172.48222101036282,36.47251008078456,341.1830300465226,60.0
1778103245,10,GET,GET /runs/{id},7.200000,0.000000,16,17,18,19,21,23,25,32,32,32,32,91,0,16,27.104058789068855,7.7513959258794785,214.14908301085234,966.5164835164835
1778103245,10,POST,POST /research,7.200000,0.000000,10,11,12,12,13,14,22,32,32,32,32,91,0,10,12.038434819819836,4.546158947050571,59.596071019768715,120.0
1778103245,10,,Aggregated,16.300000,0.000000,13,16,17,19,32,240,270,300,340,340,340,203,0,14,35.38962344643591,4.546158947050571,341.1830300465226,493.26600985221677
1778103246,10,GET,GET /health,2.000000,0.000000,260,290,300,300,310,340,340,340,340,340,340,24,0,210,188.81858536042273,36.47251008078456,341.1830300465226,60.0
1778103246,10,GET,GET /runs/{id},7.600000,0.000000,16,17,18,19,23,24,29,32,32,32,32,100,0,16,26.231388999149203,7.7513959258794785,214.14908301085234,964.65
1778103246,10,POST,POST /research,7.600000,0.000000,9,10,12,12,14,17,22,32,32,32,32,100,0,10,11.92865391727537,4.546158947050571,59.596071019768715,120.0
1778103246,10,,Aggregated,17.200000,0.000000,13,16,17,20,83,260,300,310,340,340,340,224,0,14,37.266296162020545,4.546158947050571,341.1830300465226,490.64732142857144
1778103247,10,GET,GET /health,1.800000,0.000000,270,290,300,300,310,340,340,340,340,340,340,25,0,240,192.93244449421763,36.47251008078456,341.1830300465226,60.0
1778103247,10,GET,GET /runs/{id},7.600000,0.000000,15,16,18,19,23,24,29,32,32,32,32,105,0,16,25.6264122557782,7.7513959258794785,214.14908301085234,972.8285714285714
1778103247,10,POST,POST /research,7.600000,0.000000,8,10,11,12,14,17,22,32,32,32,32,105,0,10,11.638389829368819,4.528816789388657,59.596071019768715,120.0
1778103247,10,,Aggregated,17.000000,0.000000,13,16,17,20,110,270,300,310,340,340,340,235,0,14,37.1749588565782,4.528816789388657,341.1830300465226,494.668085106383
1778103248,10,GET,GET /health,1.900000,0.000000,290,300,310,310,340,470,470,470,470,470,470,26,0,240,203.7450927667893,36.47251008078456,474.0612995810807,60.0
1778103248,10,GET,GET /runs/{id},7.600000,0.000000,16,18,19,21,23,25,29,32,32,32,32,115,0,16,25.004343712783378,7.7513959258794785,214.14908301085234,985.304347826087
1778103248,10,POST,POST /research,7.600000,0.000000,9,11,12,13,14,17,22,32,32,32,32,115,0,10,11.534057375367569,4.528816789388657,59.596071019768715,120.0
1778103248,10,,Aggregated,17.100000,0.000000,13,16,19,21,160,290,310,340,470,470,470,256,0,14,37.106595847944845,4.528816789388657,474.0612995810807,502.6171875
1778103249,10,GET,GET /health,1.700000,0.000000,290,310,310,340,400,470,470,470,470,470,470,28,0,240,217.3390088303547,36.47251008078456,474.0612995810807,60.0
1778103249,10,GET,GET /runs/{id},7.700000,0.000000,16,18,19,20,23,25,29,32,32,32,32,122,0,16,24.523201795508626,7.7513959258794785,214.14908301085234,993.8688524590164
1778103249,10,POST,POST /research,7.700000,0.000000,9,11,12,13,14,17,22,32,32,32,32,122,0,9,11.370519531096836,4.528816789388657,59.596071019768715,120.0
1778103249,10,,Aggregated,17.100000,0.000000,13,16,19,21,240,300,340,400,470,470,470,272,0,14,38.4725229746169,4.528816789388657,474.0612995810807,505.77941176470586
1778103250,10,GET,GET /health,1.600000,0.000000,300,310,390,390,450,470,470,470,470,470,470,29,0,260,225.27980314696143,36.47251008078456,474.0612995810807,60.0
1778103250,10,GET,GET /runs/{id},7.800000,0.000000,16,18,19,19,23,25,29,32,32,32,32,128,0,16,24.137958516803337,7.7513959258794785,214.14908301085234,994.546875
